"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date","app_name","ReviewLength"
"1","Dude woah...","https://itunes.apple.com/us/reviews/id486901575","Carson21056144328567001","3.64.0",5,"It feels like my body just connected to the fabric of the universe, and for a moment I wasn’t even a physical being anymore. Just a breathing entity floating in the vast emptiness of the universe. That is one of the most calming experiences I’ve had in a long time. Definitely considering a yearly membership!",2019-06-28,"headspace",309
"2","Best App","https://itunes.apple.com/us/reviews/id503519722","Añonÿmöus","3.64.0",5,"I had a trouble focusing and I get mad easily so this app helps me so much. I try and find a time in my day or night just 3 minutes and listen and relax. Great app",2019-06-28,"headspace",163
"3","Great for beginners, experts, and day to day meditation","https://itunes.apple.com/us/reviews/id43266749","iRockYourWorld151","3.64.0",5,"This is a great app for beginners to meditation, for those who want to form a meditation routine on the day to day and for expert mediation as well. This app is a fantastic tool for use in learning the art of mediation.",2019-06-27,"headspace",219
"4","Love this app","https://itunes.apple.com/us/reviews/id428099518","Zhane529","3.64.0",5,"I have very bad anxiety and deserve and the practices on this app are so helpful and so worth the subscription. They have a short session that are 1min and they have long ones that are 15 minutes or more.",2019-06-27,"headspace",204
"5","Very soothing","https://itunes.apple.com/us/reviews/id430110597","Donna Pfohl","3.64.0",5,"I love this app. I’m starting at 5 min a day and working my way up. The voices are soothing.",2019-06-27,"headspace",92
"6","Changed My Life","https://itunes.apple.com/us/reviews/id926164126","BrittStacy","3.64.0",5,"Love this app. Sometimes my head can get some busy with trivial things and this allows me to take time for myself everyday and work on all sorts of topics like my relationships, stress management, anxiety or anything else I’m feeling! I love it so much!",2019-06-27,"headspace",253
"7","Amazing","https://itunes.apple.com/us/reviews/id43934427","Sieiqpfnuwoahdc","3.64.0",5,"This helped me so much with pain management and depression. Would highly recommend!",2019-06-27,"headspace",83
"8","Amazing results","https://itunes.apple.com/us/reviews/id676782173","Llamamama06","3.64.0",5,"I am very new to meditation, meaning when I first started I thought there was no way I was going to prevent my mind from wandering. But after a few sessions of basics, I find myself taking breaks in the day while I’m at work and just breathing as well as casting away my stressful or scattered thoughts.
If like me, you have a hard time sleeping from all the thoughts running around in your brain Headspace will definitely help to relive you of that stress.",2019-06-27,"headspace",457
"9","Helps with depression","https://itunes.apple.com/us/reviews/id359207941","Noctua_nox","3.64.0",5,"Has helped me with depression, anxiety, and feelings of being overwhelmed. It has even helped with my insomnia since there are several meditations for falling asleep and falling back asleep when you wake up. I look forward to taking a small amount of time for myself abd to just be calm and present.  I really love the approach. It’s not about being a perfect meditator with a perfectly still mind, it’s about learning to be present. He teaches. I bought the upgrade and I’m really glad I did. I love it. I just finished the “basics course”. Try the free parts and see what you think.  Hope it helps you.",2019-06-27,"headspace",604
"10","Worth the subscription!","https://itunes.apple.com/us/reviews/id302962954","Lovelyladymc","3.64.0",5,"I struggle with insomnia due to grief and anxiety. This app helped, its worth it!",2019-06-27,"headspace",81
"11","Headspace!","https://itunes.apple.com/us/reviews/id703010491","369irp","3.64.0",5,"I love this app so much, it’s amazing for relaxing when you are stressed or anxious.",2019-06-27,"headspace",84
"12","Changed my life.","https://itunes.apple.com/us/reviews/id106312288","SWE5555","3.64.0",5,"Not much else to say. It’s 1 of 3 apps I’ve ever felt like I couldn’t do without. The other two are Apple Music and Soundcloud.",2019-06-27,"headspace",127
"13","Helping with transitions","https://itunes.apple.com/us/reviews/id11904198","jkelley24","3.64.0",5,"I’ve been dealing with a lot of difficult transitions. I don’t have a big support system, which is one of the recent changes in my life. Someone suggested Headspace, which I had downloaded but never opened. I saw a series on sleep and decided to try that. I abandoned the series, as I find it hard to focus on much these days. But I discovered one sleepcast that I liked. I played it almost every night. I still don’t have a routine for sleeping but now I have a deep affection for this sleepcast, strange as that may sound. I decided to try the series on grieving. It was and has been difficult, but I am hopeful that it will help. Even though things remain jumbled up, I find myself going to Headspace and trying things like the live meditations. It’s more than an app for stress management or electronic sounds for sleeping. It feels like a safe, encouraging place to go when you can’t find yourself in the world or your mind.",2019-06-27,"headspace",929
"14","Loved the sleep stories... but too pricey","https://itunes.apple.com/us/reviews/id27414462","Shana L M","3.64.0",3,"Was having anxiety issues and difficulty falling asleep. The sleep stories worked like a charm. But then after thirty days would have to pay. Why not have just the sleep story that was already free just stay free?",2019-06-27,"headspace",213
