"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date","app_name"
"1","TERRIBLE  not free","https://itunes.apple.com/us/reviews/id656396056","pugicorn7345","4.11.3",1,"This app is terrible not free it let me do one meditations session and it was a seven day thing but only let me do on all the other sessions cost money him everything else cost money there was music it could play it cost money it could read your stories but it costs money terrible app 🤬🤬🤬😡😡😡",2019-07-09,"calm"
"2","I can’t sleep without this app","https://itunes.apple.com/us/reviews/id697410972","Gillian_96","4.11.3",5,"I’ve always been the kind of person who struggles falling asleep. I didn’t think that the sleep stories or the sleep music would help me, but boy was I wrong. At first I did all the free stuff. And then one night after going out to the couch and tossing and turning until 3 a.m. I kind of said screw it and paid the money for a years subscription. It seems like a lot of money, but broken down over an entire year it’s totally worth it!! 

I can not go to bed with out this thing, believe me I’ve tried! I sleep so restlessly without it. I don’t use it too much for the meditation, but I have and it’s wonderful. I mostly use it for sleep. I’ve found that I have favorite narrators that I like and I get so excited when my favorite narrator adds a new sleep story. 

I’m not someone who spends money willy nilly, but this was a very smart purchase and when my year is up I will be resubscribing. Just trust me, it will be worth every penny!",2019-07-09,"calm"
"3","Worth Every Penny","https://itunes.apple.com/us/reviews/id460187522","Love Thy Posh","4.11.3",5,"I will continue paying an annual membership for this app. I had no clue how to meditate until I started using Calm over a year ago. Granted, I do fall asleep most times because I lay in bed to “meditate” to calm my nervous nerves and mind. But I don’t sleep long and I feel so much better.  I love the nature sounds too. There’s a little something for everyone. I LOVE LOVE LOVE this app!",2019-07-09,"calm"
"4","More of this less of that","https://itunes.apple.com/us/reviews/id183042234","Kristy Elizabeth","4.11.3",3,"It’s a nice app and I use it a lot however I wish there were more music mixes and nature sounds. The goodnight stories I have no complaints about. The meditation however is mostly guided by the same person(Tamara) and I don’t find her voice relaxing; at all. So there are some definite pluses and minuses for me.",2019-07-09,"calm"
"5","Review","https://itunes.apple.com/us/reviews/id13474177","MemeLilac","4.11.3",4,"It is great!",2019-07-09,"calm"
"6","Scam","https://itunes.apple.com/us/reviews/id199881941","Zxzxbgdgx","4.11.3",1,"Have to pay 70 dollars",2019-07-09,"calm"
"7","Multiple attempts needed","https://itunes.apple.com/us/reviews/id602921379","andergir1","4.11.3",4,"I really enjoy the content. Unfortunately I have to tap wait a tap wait tap wait and then eventually the program will successfully open. It didn’t used to do this and I’m not sure what the issue is. It has made me hesitate about renewing my premium subscription 🥴",2019-07-08,"calm"
"8","Amazing","https://itunes.apple.com/us/reviews/id732271324","pinecado","4.11.3",5,"It’s so relaxing 😌 and peaceful 
Because of this awesome app I’m less irritable and it helped me feel less anxious.",2019-07-08,"calm"
"9","69.99$ for a app subscription insane","https://itunes.apple.com/us/reviews/id249831079","Tx gym rat","4.11.3",1,"Terrible app deleted as soon as it said for me to purchase for 69.99 a month you
Must be crazy ..",2019-07-08,"calm"
"10","Nothings free","https://itunes.apple.com/us/reviews/id1044994193","Jupiter_Flies2","4.11.3",1,"These days, nothings free anymore and everything costs a ton. I mean a 99 cent to use app is reasonable but this is way too pricey to unlock everything.",2019-07-08,"calm"
"11","This good","https://itunes.apple.com/us/reviews/id957590709","slime_queen❤️","4.11.3",5,"I like this app today is the first day of relax calm and I feel really fresh and calm tomorrow I’m doing it again it’s gonna be amazing I hope it works because i always have stress❤️💗",2019-07-08,"calm"
