"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date","app_name"
"1","As a Mindfulness Instructor","https://itunes.apple.com/us/reviews/id809008193","dr romberger","15.0.4",5,"As a Mindfulness instructor I find Insight time to be a wonderful resource for my students and anyone who is in the process of building a daily meditation practice.  Thank you to all the teachers and those who put it all together. Namaste Deb Romberger",2019-06-28,"insight_timer"
"2","My favorite app!","https://itunes.apple.com/us/reviews/id310600552","bikewander","15.0.4",5,"Don’t let the name of this app fool you. It is much more than a meditation timer - although it does that well, too.  Regardless of your level of experience, you will find thousands of meditations here in a variety of flavors. You can search by topic — sleep, relaxation, body scan, music, nature sounds, etc — or with a person’s name. It is very easy to bookmark your favorites.  The app also tracks your meditation minutes. The list goes on.... this is the meditation app that does it all within a worldwide community of other meditators. Namaste.",2019-06-28,"insight_timer"
"3","YES!","https://itunes.apple.com/us/reviews/id253833400","KC Cheese!","15.0.4",5,"What an amazing way to start your morning!",2019-06-28,"insight_timer"
"4","Has made a huge difference","https://itunes.apple.com/us/reviews/id245906460","Doccory","14.5.5",5,"This app is not only a great meditation timer but a helpful resource for and access to great teachers of mindfulness. Lots of customization options and access to many types of communities to support your progress if you want that. i've spent years trying to establish a regular practice and have been pretty inconsistent until I made a habit of opening Insight Timer every day. Once you are looking at the app, you may as well participate. It's the meditation equivalent of putting on your sneakers and stepping out your front door. Once you've done that heavy lifting, you may as well exercise, right?",2019-06-28,"insight_timer"
"5","I love it","https://itunes.apple.com/us/reviews/id403530606","leilasr","15.0.4",5,"It is really work",2019-06-28,"insight_timer"
"6","Thank you","https://itunes.apple.com/us/reviews/id527633853","doggy_power8","15.0.4",5,"Such a beautifully simple body scan meditation. Calm, soothing voice. Thank you so much.",2019-06-28,"insight_timer"
"7","The BEST meditation app on the market!!!","https://itunes.apple.com/us/reviews/id251461098","Mmmartin33","15.0.4",5,"And it's free!  I have enjoyed IT for years so took the plunge into a subscription. Love the additional features and access to even more content. Would love to be able to create playlists and organize my bookmarks. 

Thank you for helping me be more serene and sleep!",2019-06-28,"insight_timer"
"8","My salvation is at Insight Timer","https://itunes.apple.com/us/reviews/id449780480","kassanonkwas","15.0.4",5,"I use it every night at bedtime.",2019-06-28,"insight_timer"
"9","Awesome App!","https://itunes.apple.com/us/reviews/id329604023","Sister Samzie","15.0.4",5,"The content, education, depth and variety, I highly recommend to anyone.",2019-06-27,"insight_timer"
"10","Best thing that ever happened to me!","https://itunes.apple.com/us/reviews/id554058110","mchay444","15.0.4",5,"Absolutely love Insight Timer! I have been using it for over two years. I started out using the free version but have upgraded to the premium.  It has a lot of great guided mediations and awesome meditation teachers. I will say the only draw back is not all mediations are created equally. So you have to find the right ones that resonate with you. There is a lot of variety. Also, love the courses offered. You have to pay for them or upgrade to the premium membership get to access to it but definitely worth it. I have learned so much using this app. I also love the different features it offers such as talks, music, timer to meditate in silence, etc. Learning how to meditate and meditating daily has changed my life!",2019-06-27,"insight_timer"
"11","A great meditator's companion","https://itunes.apple.com/us/reviews/id345590939","ChuckLinton","15.0.4",5,"This is a great tool to facilitate meditation and structure my practice.

The support I’ve received any time I’ve had a question or issue has been superb.",2019-06-27,"insight_timer"
"12","Meditation","https://itunes.apple.com/us/reviews/id164838368","Fish eyed fool","15.0.4",5,"Insight timer is a Life changer. Start today.  The best. <U+262E><U+FE0F>",2019-06-27,"insight_timer"
"13","Nice!","https://itunes.apple.com/us/reviews/id33980883","Mar’s Music","15.0.4",4,"Simple light and quick if you only have a few minutes",2019-06-27,"insight_timer"
"14","Best app ever!","https://itunes.apple.com/us/reviews/id267703243","DLV911","15.0.4",5,"Game changer...I share it with all my friends",2019-06-27,"insight_timer"
"15","amazing app — PLEASE MAKE BETTER APP FOR APPLE WATCH","https://itunes.apple.com/us/reviews/id293296550","loveyouhateyourwatchapp","15.0.4",4,"I use insight timer every night and it is a life changer!!! my favorite app ever. HOWEVER I really wish the apple watch version of the app allowed you to play your bookmarked meditations!! or even our purchased courses.",2019-06-27,"insight_timer"
"16","Awesome","https://itunes.apple.com/us/reviews/id103217349","frustrated robin","15.0.4",5,"Love everything about Insight Timer. And customer service/tech folks very nice and helpful. Thank you to all at IT!<U+0001F64F>",2019-06-26,"insight_timer"
"17","This app forgot that it’s supposed to be a timer","https://itunes.apple.com/us/reviews/id358047380","Rieters","15.0.4",1,"I downloaded this app some years ago, when I was looking for a timer with a good bell, and some flexibility within a meditation session to ring different bells to mark transitions from one practice to another.

At first I was quite happy with it, the recorded bells sound great, and peacefully let me know when it was time to bow, and move on with my life. I was able to preset meditation sessions any way I wanted, with multiple reminder bells, and save them with whatever I chose to name them. Everything I wanted.

The problem is the so much more. I do not everything else the app offers, and continuously foists on me. Guided meditations, background music, or ambient soundscapes, a notice of how many people around the world were using the app while I was.

In fact the one place I NEVER, EVER want the internet or social media is in my meditation space, and the bottom line is that this app will not reliably function without an internet connection. Too many times the app has refused to work unless I sign into my account. It’s a timer, for goodness sake. I don’t want to get off my cushion to find a password to turn on a timer. I don’t want to be counted as one more person meditating with this app. I do not want any of the other crap this app offers.

I do want to be assured that when I go into solitary retreat, with no cell phone reception or WiFi within miles, I will be able to reliably turn on the timer. And this app has failed to do that time, and time again. I have deleted the app from all my devices, and if it were possible to give this app a rating of negative stars, I would.",2019-06-26,"insight_timer"
"18","Insight timer","https://itunes.apple.com/us/reviews/id1039795200","people or ok","15.0.4",5,"Is amazing it really helps me sleep at night right away. There is nothing wrong about it accept there  should be a kids sleeping music section so you don’t have to find music for kids.",2019-06-26,"insight_timer"
"19","Diversity","https://itunes.apple.com/us/reviews/id111861089","Whole Being Inc","15.0.4",5,"I love the diversity of styles and instructors and lengths for practices.",2019-06-26,"insight_timer"
"20","Love the music!","https://itunes.apple.com/us/reviews/id541255057","jennpicard","15.0.4",5,"I have a hard time relaxing and quieting my mind. This app allows me to be mindful. I listen to music and can settle down and sit in the moment. No other app could do with that. Love it!",2019-06-26,"insight_timer"
"21","Stellar","https://itunes.apple.com/us/reviews/id333337601","Sho8377","15.0.4",5,"By far the best meditation app I have come across. I can’t believe the assortment and variety and quantity available here for free. It is of course beneficial to donate to your favorite teacher here as it is after all free. Free talks and meditative music as well. I am impressed. Thank you.",2019-06-26,"insight_timer"
"22","It would be nice to set black background...font like new icon w white background","https://itunes.apple.com/us/reviews/id176164665",".valis","15.0.4",4,"...without having to pay $60/ year for this privilege. I guess it’s the “night mode”??
The way the different screens are set up, on free service you are constantly going from soothing, black background, to jarring white background. It’s as if they’re pushing you to get the paid service.
That being said, the guided sleep meditations are pretty good.

Preferred simple “bowl” icon, without background. Now,the white background just makes it look cheesy.
:-/",2019-06-26,"insight_timer"
"23","Thank You","https://itunes.apple.com/us/reviews/id125230441","Vlad289","15.0.4",5,"Thank you for bringing back the total meditator count!!!!!! I greatly enjoy seeing the number rise. It would be nice if it updated in smaller increments though. For example every 50k or so.",2019-06-26,"insight_timer"
"24","Love It","https://itunes.apple.com/us/reviews/id188063007","DBrockV","15.0.4",5,"Wow...how this hits home, easy to say, difficult to actually go all the way, wish I could, maybe, partly. Wish I could talk with you.",2019-06-25,"insight_timer"
"25","Insight Timer","https://itunes.apple.com/us/reviews/id36636805","Lynda Julene","15.0.4",5,"I love doing the daily meditations and the music.  It added so much to my morning meditation/planning.  Thanks!",2019-06-25,"insight_timer"
"26","Hugely helpful","https://itunes.apple.com/us/reviews/id628705903","gemmabbenton","15.0.4",3,"I definitely love this app for meditation and an using it almost daily. Works perfectly. I find I am also using it as a Pomodoro focus tool as a well. I use the timer and set up ""chimes"" for every 2-4 minutes for 30 minutes. Works like a charm. Used in my workshop to help me track time as a presenter. Love this!

** update 62519 ** I still enjoy the app as a free version however will not to back to paid app because when I had to go back to free to save money for a little bit I lost my paid courses. I should have been able to keep the content I had. Reduced from 5 for the free app to 3 for the paid app. I was hoping the recent update would allow us to keep the courses we had.",2019-06-25,"insight_timer"
"27","Best App on the iPhone!","https://itunes.apple.com/us/reviews/id25151300","Mdaduzi","15.0.4",5,"I have been using it for about 3 months now. I use it to do Transcendental Meditation (TM), 20 minutes, twice a day.

I love how feature rich this app is.

-I like how easy to save preset meditation sessions with specific bells and intervals
-I like how easy it is to keep track of when you meditated.
-I find the milestones and streaks very motivating.

I haven’t even tried the guided meditations yet or the premium membership but I might take a look at some point, they look interesting. But so far I only use the timer, so it’s TOTALLY FREE. No ads, no aggressive attempts to sell anything!

So I don’t know if they’re other similar apps out there, but if you’re going to use an app this is a very good one.",2019-06-25,"insight_timer"
"28","Tried and True","https://itunes.apple.com/us/reviews/id217496112","TeaAddict0425","15.0.4",5,"I love insight timer! It is my favorite meditation app. They have so many options for guided meditation, as well as the tried and true bell timer. This app is great for all levels of practitioners!",2019-06-25,"insight_timer"
"29","Stop with the updates","https://itunes.apple.com/us/reviews/id339310966","Notlovingit608","15.0.4",1,"Leave well enough alone. I now have to click how many times to simply play a bookmarked meditation?  Also, clearly playlists are not coming soon - want to at least update that language?",2019-06-25,"insight_timer"
"30","AMAZING!!!!","https://itunes.apple.com/us/reviews/id214893613","Nikolet03","15.0.4",5,"I LOVE this app!!!! I use this meditation app each night when I to go to bed. I can’t sleep w/ out listening to it. They have hundreds of thousands of meditation to choose from. You can even search by word e.g. anxiety, sleep, fear etc... you can choose from guided meditations, music or both guided and music.  There’s something for everyone!  The free version provides so many meditations to choose from. I can’t say enough!!  Thank you, thank you!!!",2019-06-25,"insight_timer"
"31","Still no dark icon","https://itunes.apple.com/us/reviews/id22383239","LeoVogel","15.0.4",1,"This app has been ruined by the app icon change from dark to light.",2019-06-24,"insight_timer"
"32","Fantastic content","https://itunes.apple.com/us/reviews/id31558421","Serena%","15.0.4",4,"This app is a treasure trove of meditations, talks, and even bedtime stories (adults and kids!). There is a clear community you can participate in if you want. The inability to organize my bookmarked content is what stops me from moving from the free version to the “deluxe”. The “sort by frequency” feature clearly doesn’t work and sort by title” isn’t helpful when you have 10 meditations that begin with “morning”, for instance. There is no way to create collections or tag things so I end up doing a lot of scrolling through my bookmarked stuff. I’m waiting for developers to address this before I pay to access even more content without a way to organize it well.",2019-06-24,"insight_timer"
"33","Use this app multiple times a day","https://itunes.apple.com/us/reviews/id27182939","Hbacmama","15.0.4",5,"Best yoga nidra ever by Jennifer Piercy. Wonderful meditation bells, and the interim bells work perfectly for my pranayama sets.",2019-06-24,"insight_timer"
"34","Requires account creation","https://itunes.apple.com/us/reviews/id47682580","Dude0u812","15.0.4",1,"Opens to a screen requiring logon. Choice between Facebook log on (people still dumb enough to do THAT?) and log in with email. But, ummm, where is the option to even CREATE an account? Meditation can be far simpler than this, and not polluted with Facebook involvement.",2019-06-24,"insight_timer"
"35","Can I Have Some Control?","https://itunes.apple.com/us/reviews/id31383359","Babssy","15.0.4",1,"As a paying member (since the beginning) will it be possible to give me some control of how I want my app set up? I’d love the option of hiding things. With this new “update” I’d probably hide most of it.",2019-06-24,"insight_timer"
"36","Overhaul version not great","https://itunes.apple.com/us/reviews/id217510023","Charliebrown789","15.0.3",2,"It’s more difficult to navigate different categories of meditations now since it’s all generalized into a few buckets. Also harder to access courses and favorites. Please bring back the old version!",2019-06-24,"insight_timer"
"37","Just download it now you won’t regret it","https://itunes.apple.com/us/reviews/id179005902","Bengals mom","15.0.2",5,"I’ve been using this app for over a year and I am completely head over heels for it.  <U+0001F496><U+0001F49F>

When I first started meditating it was difficult but there are so many options on here you can’t go wrong. Soon it becomes easier and easier and then one day you can’t live without it. <U+0001F49F><U+0001F549>

Trust me it is easier than playing a mindless game for one minute and you get amazing benefits!  So seriously who cannot do it for one minute?  Just commit to doing something for yourself and download it: it’s free!!",2019-06-23,"insight_timer"
"38","My go to meditation app","https://itunes.apple.com/us/reviews/id221250908","Akitalady70","15.0.3",5,"I have several sleep/meditation apps on my phone, but I seem to always come back to. insight. The full version is well worth the cost.  The course instructors are top-notch.",2019-06-23,"insight_timer"
"39","A joy ,a treat ,a respite all rolled into one","https://itunes.apple.com/us/reviews/id11241366","just lene","15.0.3",5,"I am so grateful to insight timer.. it’s a true eye-opening soul-searching ,heartwarming app ..very grateful for teaching me how to be grateful thank you",2019-06-23,"insight_timer"
"40","Great app!","https://itunes.apple.com/us/reviews/id23181747","ArmindaEliza","15.0.3",5,"Has guided meditations and music and just plain silence. Allows you to enter yoga as well sitting meditation, and there are lots of free apps.",2019-06-23,"insight_timer"
"41","Wonderful!!","https://itunes.apple.com/us/reviews/id315173727","MikeNCC84","15.0.3",5,"This a an amazing app. It works amazingly well and is very well organized. I recently upgraded to the premium version and couldn’t be happier. It’s a great investment in wellbeing.",2019-06-23,"insight_timer"
"42","New version","https://itunes.apple.com/us/reviews/id166251394","bbbbbbbbbbbbbbbbbbbbbbbbbbbbn","15.0.2",2,"My, I really don’t enjoy the changes. Not able to track my day to day as well. Sometimes too much change for no reason is not a good thing. Less is Mote!",2019-06-23,"insight_timer"
"43","Amazing","https://itunes.apple.com/us/reviews/id27191469","Jenhw123","15.0.3",5,"I am a 14 year old how is struggling with major anxiety. Thanks to a fur meditations a day I feel less anxious.",2019-06-23,"insight_timer"
"44","Legibility","https://itunes.apple.com/us/reviews/id106624014","jcinsight","15.0.3",3,"Recent update makes it difficult to read meditation titles of white text on a similar value of grey background.",2019-06-23,"insight_timer"
"45","Hate the latest version","https://itunes.apple.com/us/reviews/id186868516","ReaBv","15.0.2",1,"The latest version of the app is not user- friendly. I’m disappointed by the so called features. Stopped using it altogether.",2019-06-22,"insight_timer"
"46","Major update not appreciated","https://itunes.apple.com/us/reviews/id1038077561","gyy45","15.0.3",2,"The update did not retain my list of recent programs. These are essentially lost now, because the search function is not working. I still receive “thanks” messages even though the entire feature is turned off. The thumbnail images for categories use a very stylized script for the labels; on top of being a poor choice for legibility/accessibility in an app, this generic “artistic” gesture can only be about imposing a mood, the popular trend to promote meditation as beautiful, peaceful, pleasant. That is uninformed, and not about directing users to what they’re looking for. This version does not seem to hold to the same operating principles of the previous Insight Timers.",2019-06-22,"insight_timer"
"47","Awesome meditation app!","https://itunes.apple.com/us/reviews/id474988995","TaraKuanYin","15.0.3",5,"I really love Insight Timer!  I am enjoying Premium very much!  I had a question and emailed them, and they got back to me the next day.  I love the Daily Insight as well as the Courses and the meditations!  I highly recommend this app! <U+0001F60A><U+0001F308>",2019-06-22,"insight_timer"
"48","Insomnia","https://itunes.apple.com/us/reviews/id442047280","Joimichele1","15.0.3",5,"I suffer with insomnia and this put me to sleep. I had fallen asleep for maybe 15 minutes on the couch. When I woke up I moved to the bed thinking I would fall back asleep. Nope! I laid awake for 2 hours. I was so angry and was counting the minutes. I decided to try this mediation. It worked! I didn’t wake up again until my baby cried at 7 am. So grateful!",2019-06-22,"insight_timer"
"49","New fonts very hard to read","https://itunes.apple.com/us/reviews/id29734126","Routsis I tunes account","15.0.3",1,"Please change your app font or background color as the white font in gray background is extremely had to read.",2019-06-22,"insight_timer"
"50","Dynamic and Effective","https://itunes.apple.com/us/reviews/id226883907","Macs mommy","15.0.3",5,"I am a psychiatric NP and I recommend Insight Timer to many of my patients with a variety of interests and conditions. I also use it myself and with my staff for a daily “5 minute mindfulness break” over the lunch hour. I like how many options and authors are available and the way it breaks down the options based on time or topic. Very helpful for the new or advanced mindfulness enthusiast!",2019-06-21,"insight_timer"
"51","Too much stuff","https://itunes.apple.com/us/reviews/id112847663","Actually works as described","15.0.3",2,"I miss the stand alone timer",2019-06-21,"insight_timer"
"52","Love, love Insight Timer!","https://itunes.apple.com/us/reviews/id608609551","thesunkissedvegan","15.0.2",5,"I use Insight Timer almost everyday for myself and my children. I love it! Thank you! Namaste.",2019-06-21,"insight_timer"
"53","Go premium","https://itunes.apple.com/us/reviews/id30160549","bopyt","15.0.3",5,"So many good things to say about insight timer. Premium version is an awesome value with all of the free courses. Highly recommended!",2019-06-21,"insight_timer"
"54","Muses on new app","https://itunes.apple.com/us/reviews/id17393804","AncientKitty","15.0.3",3,"In the new app what does the search function do, since it never returns any search results. Even searching for words like sleep or anxiety or a name of a teacher. LOL. 

It’s not intuitive where My Downloads now are. 

The addition of sleep stories is a Calm copy cat. 

The original app had its weird workflow and it will take a while for me to learn this version. 

I agree with another reviewer. I wish I could permanently hide the suggested Courses. I bought an annual subscription to listen offline. I have no plans to purchase courses.",2019-06-21,"insight_timer"
"55","Far & away the best meditation app!","https://itunes.apple.com/us/reviews/id14338645","Allie-Oklahoma","15.0.3",5,"Insight Timer has the most amazing free and diverse content from all over the world on any topic you can imagine. From here I’ve launched to following teachers like Sarah Blondin, Michelle Chalfant, and Tara Brach who quite literally have helped me on a path to deeper relationships, compassion, and self knowledge. Explore today - nothing but a better life awaits.",2019-06-21,"insight_timer"
"56","Recommend <U+0001F4AF>","https://itunes.apple.com/us/reviews/id965562623","iamNarcisse","15.0.3",5,"Hands down the best meditation app in town! So many options!!!!! I’m in love. Now go download. <U+0001F483><U+0001F3FB>",2019-06-21,"insight_timer"
