"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date","app_name"
"1","<U+2728><U+2728><U+2728><U+2728>","https://itunes.apple.com/us/reviews/id671518316","Mrs. Sweet Rose","1.24.1",4,"I love this app!! I also have they’re yoga app. I wish there were longer mediations (more 20min to 30min). For only using what’s free, it’s still a good variety. I would still prefer to have all the mediations for free haha.",2019-06-25,"meditation_studio"
"2","Simply Perfect","https://itunes.apple.com/us/reviews/id49982272","natashathewriter","1.24.1",5,"I love how easy this app is to use and that it isn’t constantly trying to get me to buy something. It makes wanting to adopt a routine easy :)",2019-06-24,"meditation_studio"
"3","THE TOOTHBRUSH OF MY MIND","https://itunes.apple.com/us/reviews/id440803483","nefertitimusic","1.24.1",5,"This app is essential. I love everything about it. ESPECIALLY the aesthetics and the ability to add music/calming sonics. I plan on becoming more consistent and disciplined in my meditating, and when I'm more committed, I absolutely plan on subscribing. It's absolutely worth the price!!!",2019-06-21,"meditation_studio"
"4","My favourite meditation app just got better","https://itunes.apple.com/us/reviews/id40655270","astonesthrowfromhurting","1.24.1",5,"I love the new music options — and really appreciate that they have delivered on the Timer feature - I used that multiple times this last week to deal with holiday stress and anxiety. Also love, love, love the Playlist feature!!!",2019-06-17,"meditation_studio"
"5","Love this app","https://itunes.apple.com/us/reviews/id146865344","EstherRobbins","1.24.1",5,"Loving this app. Lots of choices on instructors and types of meditations. PLUS singing bowls which I find super relaxing. 
My favorite part is being able to mix sounds into my practice and save them! I like to add rain to my practice as a background. This is truly and app with so many great features!",2019-06-15,"meditation_studio"
"6","Meditations used to be free","https://itunes.apple.com/us/reviews/id86647479","Rpsg","1.24.1",1,"I had this app on my phone for a while in the past,  it helped me through difficult times, and the meditations used to free.

I downloaded it again after I had to format it to factory settings, and now all the mediations are locked and available only through membership, which is a bummer.

I’m gonna have to look for other apps and alternatives.

Disappointed",2019-06-09,"meditation_studio"
"7","Was my favorite app...","https://itunes.apple.com/us/reviews/id362249100","Maddymb98","1.24.1",3,"This was my favorite meditation app until now where you have to pay for a subscription to use over half of the meditations...",2019-06-09,"meditation_studio"
"8","Could use more content.","https://itunes.apple.com/us/reviews/id239301691","Grimes,ca","1.24.1",4,"However, of the 4 meditation apps I’ve tried, it has the BEST content and is my favorite.  As a data junkie I wish they tracked my minutes also.",2019-05-26,"meditation_studio"
"9","Great Meditation Guide!","https://itunes.apple.com/us/reviews/id39283822","BillyB826","1.24.1",5,"The most valuable subscription I have. This app has been amazing at helping me learn to meditate and support me in continually getting the benefits of meditation. It’s easy to use and the variety of meditations and guides means there is always something else new to discover and use.",2019-05-22,"meditation_studio"
"10","Business model issues.... disheartening","https://itunes.apple.com/us/reviews/id124935812","DD.3388","1.24.1",1,"I LOVED THIS APP... it was absolutely worth the money I initially paid. However the business model changed to prescription..... Now I feel like this is only for those who can afford the $50. This is how personal health becomes out of reach for lower income individuals. Yes, i am a legacy customer, yes I have access to all the old content, but I can no longer recommend this app because I don’t stand behind the price, it’s too high.

 I wish at the very least you could download the new meditations at an individual cost or something at least because having to stay stagnant with only the old content is quite frustrating when you see all the great new topics coming out. I understand it costs money to run this, I understand it’s a business, but the basis of the service is self care and it’s just very disheartening to see all these meditation apps pricing people without at much disposable income out of their apps.",2019-05-21,"meditation_studio"
"11","Subscriptions are getting out of hand","https://itunes.apple.com/us/reviews/id360320975","jonschuster2","1.23",1,"I know, you need to make money.  I paid you for the original app, and the fact that the majority of the content now requires a significantly more expensive subscription makes me grimace.  That’s fine though, I would say the benefits of meditating are definitely worth the investment.  However, today I noticed that “Night Mode” is a subscription feature?  Are you joking?",2019-04-18,"meditation_studio"
"12","Worth it","https://itunes.apple.com/us/reviews/id283173675","named and such","1.22",5,"I never thought it would work for me and highly doubted it. But I was wrong <U+0001F937><U+0001F3FD><U+200D><U+2640><U+FE0F>",2019-04-08,"meditation_studio"
"13","Relaxation for Pilots","https://itunes.apple.com/us/reviews/id437310509","BambiiAmbs","1.23",5,"I have a lot of memorization and a high stress environment.  Adding this meditation into my morning routine has opened up a space inside where I know I’m safe and equipped with a tool to help me overcome difficult situations.",2019-04-08,"meditation_studio"
"14","The only meditation app with a playlist","https://itunes.apple.com/us/reviews/id40423729","Spider wolf 2","1.22",5,"I have tried virtually every meditation apps.  Meditation is an important component of treating my chronic pain condition. This app is by far the best.  It contains excellent quality guided meditations, and includes the  option for the user to create their own playlist of meditations. This app is part of my daily self-care program for living with chronic pain.",2019-04-07,"meditation_studio"
"15","LOVE!!","https://itunes.apple.com/us/reviews/id450010768","Mitchy4ever","1.22",5,"I absolutely live this app. It has a meditation for so many states and moods.",2019-04-06,"meditation_studio"
"16","Best training on meditation","https://itunes.apple.com/us/reviews/id34050876","dbearay","1.22",5,"First, the trainers voice is soothing. Second,  He’s very positive.  Through his style of coaching I’ve learned it’s okay if the mind wonders.  I am someone who would become discouraged if I struggle to accomplish a task and this coach reassures it’s normal and then shares tools to help stay focus.",2019-03-25,"meditation_studio"
"17","Wonderful sleep meditations!","https://itunes.apple.com/us/reviews/id281080687","Pinelady","1.22",5,"I love this app. I have insomnia, and here is an entire collection of meditations that walk me through a calming, deep breathing process that helps me sleep. There is quite a variety of meditations. I can take a magic carpet ride, enter a secret garden, or more traditionally relax different parts of my body and breathe deeply from the abdomen. I like the variety of voices and styles as well. I haven’t explored the other types of meditations yet but I intend to. The titles are intriguing. If they are the same quality, it’s even more terrific than I know.",2019-03-20,"meditation_studio"
"18","Love this app","https://itunes.apple.com/us/reviews/id460039646","bobella1121","1.22",5,"Love it.  Use it all the time to create space.",2019-03-19,"meditation_studio"
"19","Cannot live without","https://itunes.apple.com/us/reviews/id179245644","Manddrap","1.22",5,"Superb content!",2019-03-19,"meditation_studio"
"20","Love this app","https://itunes.apple.com/us/reviews/id137816989","lkrah","1.22",5,"I’m a huge fan of this app. Easy to use and I like the meditations.",2019-03-14,"meditation_studio"
"21","Dark mode doesn’t work until after a couple of seconds of opening the app.","https://itunes.apple.com/us/reviews/id374507207","Joe Maciel","1.22",2,"I use this to sleep at night, but I always get blinded when opening up the app with a white screen that takes a second to change to black.",2019-03-13,"meditation_studio"
"22","Very helpful","https://itunes.apple.com/us/reviews/id18922277","Woody56","1.22",5,"Many challenges in life need solutions and a rested, calm mind. The app is a great support",2019-03-13,"meditation_studio"
"23","I look forward to meditation every day now","https://itunes.apple.com/us/reviews/id38657301","Lorenz12","1.22",5,"I am finding that it is possible to meditate, be present and gain peacefulness throughout my day. There is such a variety of meditations (around 10 minutes) that are fantastic to start your morning, break in your workday and then to prepare for sleep.  I have been using the longer meditations (30+ minutes) to transition from work to calmness and being at home. This has made a noticeable difference in all areas of my life.",2019-03-12,"meditation_studio"
"24","Favorite Daily App","https://itunes.apple.com/us/reviews/id8875001","SEM2020","1.22",5,"This meditation app helps me start from a place of calm focus every morning!",2019-03-11,"meditation_studio"
"25","Amazing App!!","https://itunes.apple.com/us/reviews/id75012247","JBartley","1.22",5,"This app is great and so efficient. I love their model of bringing new additions to the table every month. Best mindfulness by far",2019-03-11,"meditation_studio"
"26","Great App","https://itunes.apple.com/us/reviews/id218827101","Neek2017","1.22",5,"I’ve been using for awhile now and still enjoy. They continue adding new content.",2019-03-11,"meditation_studio"
"27","Helpful Tool for Becoming More Present","https://itunes.apple.com/us/reviews/id123289756","JoshuaWiggins","1.22",5,"I experienced a couple panic attacks for the first time in my life a month ago. I also have been learning to manage anxiety and worry for the first time in my 28 years of life. Meditation Studio has been instrumental in helping me develop my mindfulness and meditation practice, which has helped me through some challenging moments of anxiety and worry. While it is not a cure all, Meditation Studio is a powerful tool well worth its price. It is easy to use and one of my favorite functions is the ability to choose different background music or sounds. Even when I learn to manage the anxiety I am experiencing much better than I currently do, I will continue using Meditation Studio as daily practice for a range of purposes like stress, gratitude, compassion, sleep, and more. I highly recommend this app for anyone interested in becoming more present and those who might experience anxiety and worry.",2019-03-10,"meditation_studio"
"28","Amazing !!!","https://itunes.apple.com/us/reviews/id283034513","Hdudhzhagah","1.22",5,"Great app",2019-03-10,"meditation_studio"
"29","My afternoon meditation go-to","https://itunes.apple.com/us/reviews/id124044551","RedmondWriter","1.22",4,"I have my favorites and I saved them into my Playlist. A wealth of topics are covered and the variety of meditation lengths is very accommodating to one’s schedule.",2019-03-10,"meditation_studio"
"30","WOW","https://itunes.apple.com/us/reviews/id198167026","Xgetyiz","1.22",5,"This app is the best thing I did for me, at work, home, all appointments I have. I stop open this app anytime I want relax for a few minutes, breath all is better. Life is beautiful.......",2019-03-10,"meditation_studio"
"31","<U+2764><U+FE0F>","https://itunes.apple.com/us/reviews/id712958385","ajmmc","1.22",5,"This app provides healing of body, mind and spirit.",2019-03-10,"meditation_studio"
"32","The best guided meditations I've found.","https://itunes.apple.com/us/reviews/id37784703","IceWeazel","1.22",5,"So far all of the meditations in the studio have been excellent.  I signed up for a year and do not regret it.  My only hope is that they integrate support for the Muse headbands.",2019-03-09,"meditation_studio"
"33","Awesome app for meditation!","https://itunes.apple.com/us/reviews/id696807492","Muddydog1","1.22",5,"This is the BEST app for meditation. I really enjoy having such a diverse group of meditation leaders to choose from! So many great sessions lead by experts-well worth the cost!",2019-03-09,"meditation_studio"
"34","Great variety","https://itunes.apple.com/us/reviews/id676681776","Fkacita","1.22",5,"I like this app because I can select my Meditation by topic. The different people that they have to do the guided meditations have different styles. you can try the different styles and learn what works. Meditation does help you develop a new mindset and get rid of bad habits.",2019-03-09,"meditation_studio"
"35","Best meditation app I own","https://itunes.apple.com/us/reviews/id293359353","microfungirl","1.22",5,"I subscribe to four meditation apps, and cancelled two of the others bc this one is so good. It has it all. My faves are visualizations and pain meditations. They really work!",2019-03-09,"meditation_studio"
"36","Great app","https://itunes.apple.com/us/reviews/id12416904","ColorPrimary","1.22",4,"Easy to start using.",2019-03-09,"meditation_studio"
"37","Enjoying","https://itunes.apple.com/us/reviews/id486181502","straggling tweety","1.22",5,"I’m thoroughly enjoying my meditation practice. I like the option of listening to a variety of instructors.",2019-03-09,"meditation_studio"
"38","The best meditation app I found","https://itunes.apple.com/us/reviews/id218519525","hroriz","1.22",5,"I have downloaded at least 5 meditation apps and some weren’t free. This is the best one by far.",2019-03-08,"meditation_studio"
"39","Excellent UI and great variety of meditations.","https://itunes.apple.com/us/reviews/id42598456","Dan.90","1.22",5,"I've gone through all o the courses, and a good chunk of the meditations. It looks like they've added a few things here and there. As a veteran, I'm glad that they have put meditations specific to us. There's also a first responders that's cool. I'd gladly get a subscription for continuous meditations! .D

That being said, for the one time Pay, this is definitely a great deal. Or was it free... even better!

Update: 

They've since updated to a pay model, but with the legacy discount it's still pretty solid. If they added music, alone, I'd be able to get rid of my other meditation app, entirely!",2019-03-08,"meditation_studio"
"40","Wonderful teachers","https://itunes.apple.com/us/reviews/id184978953","Metisladyak","1.22",5,"I teach mindfulness and practice it daily. I have used several apps but this is the one I have stayed with because of the quality and variety of practices and the gentleness of the instructors. You won’t be disappointed.",2019-03-08,"meditation_studio"
"41","It really is the best meditation app","https://itunes.apple.com/us/reviews/id11707494","Tappmd","1.22",5,"I have tried a variety of other apps for meditation such as Calm and Omvana. They were ok. I tired of the various ‘asks’ for money in some, the inadequate samples and the lack of variety. 

So I saw a review of this one and the awards it received. I said might as well. And the reviews were absolutely right. They have meditations for all kinds of mental and emotional needs, at various lengths with different teachers. You can even make your own. And it was <$US25 for the year. Some apps charged $US3-8 per meditation and no sample. You can even make your own Or have favorites and play lists. They are easy to sort by length, type, favorites or teachers. 

I made a suggestion once about having a dark background to make it easier on the eyes at night. And they actually did within a few weeks (not that I was the cause of it but I feel like someone listened). And you can now string them together. 

This app has helped me in so many ways to keep my life straight. I wish blessings on the makers. 

gc",2019-03-08,"meditation_studio"
"42","Review","https://itunes.apple.com/us/reviews/id983582353","kica99","1.22",5,"I wish the app made meditations in Spanish",2019-03-08,"meditation_studio"
"43","Helpful","https://itunes.apple.com/us/reviews/id30773379","aimalee","1.22",5,"This app has introduced me to meditation. I use it to help me wind down and fall asleep. The classes are particularly good. I tend to go back to those to kick start my practice again.
They have made improvements like night time screen and making play lists.",2019-03-08,"meditation_studio"
"44","Only way I fall asleep","https://itunes.apple.com/us/reviews/id337925479","dparisa","1.22",5,"I suffer from PTSD, depression and anxiety. The meditations provided help me throughout the day and to get a good nights rest. I’m so grateful to have come across this app.",2019-03-08,"meditation_studio"
"45","Life Changing","https://itunes.apple.com/us/reviews/id300003245","Sky Tibet","1.22",5,"Under the weight of several significant life events I began a meditation practice using this app. In three months I will have three years of practice without one missed day. I don’t know how I could have gotten through so much so well without the guidance of Meditation Studio. 
There is a great variety of meditation styles and lengths of sessions and more are being added often. Highly recommended.
One wish: Would like to see new meditations from Noah Levine, Koshin Paley Ellison and Rodney Yee. But you’ve added some wonderful new guides so thanks for that!",2019-03-07,"meditation_studio"
"46","Perfect","https://itunes.apple.com/us/reviews/id239873154","aprfeb","1.21.1",5,"I start my day every morning with one of these meditations. Sometimes I choose  another if I need to later in the day as well. There is always the perfect meditation for how I am feeling. Best app I ever purchased!",2019-03-03,"meditation_studio"
"47","Helpful for Beginners","https://itunes.apple.com/us/reviews/id29620692","CaptWhiffle","1.21.1",5,"As someone new to mindfulness and meditation practices, I found this app really useful. And the improvements, when they are added, really are improvements!",2019-03-02,"meditation_studio"
"48","Anxious user","https://itunes.apple.com/us/reviews/id44055097","Sincere patron","1.21.1",5,"Owe my sanity to this app. Clean design, not a pay trap - really an asset with value and sincerity. Update: now a daily part of my morning and evening practice",2019-02-27,"meditation_studio"
"49","Love this app!","https://itunes.apple.com/us/reviews/id263765747","Itanza","1.21.1",5,"There are options for every mood, every time, every occasion and every window you need. I enjoy having this and have really noticed an improvement in my daily life. Thank you!",2019-02-26,"meditation_studio"
"50","Love this meditation app","https://itunes.apple.com/us/reviews/id144975862","mitoito","1.21.1",5,"I’ve only tried a few meditation apps but felt an instant connection to this one. There are so many meditations and so many coaches. Plus you can customize your own meditation to just what you need. I highly recommend this to anyone. It’s helped my anxiety significantly and so many other areas in my life! I’d be lost without it.",2019-02-26,"meditation_studio"
"51","Use it daily!","https://itunes.apple.com/us/reviews/id210785649","Sarah_BarahG","1.21.1",5,"This has really helped me not only start my practice but to keep with it. There are so many meditations to choose from - there’s one for every day and every mood. It works great.",2019-02-25,"meditation_studio"
"52","Wonderful","https://itunes.apple.com/us/reviews/id12257528","levisage2","1.21.1",5,"Wonderful",2019-02-25,"meditation_studio"
"53","Everything You Need!","https://itunes.apple.com/us/reviews/id27680191","PMC1720","1.21.1",5,"This app has all the tools needed to start a meditation practice or deepen an existing one. Great features, awesome teachers, and  relevant courses. It’s helped me start and continue meditating.",2019-02-25,"meditation_studio"
