"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date","app_name"
"1","Mantra","https://itunes.apple.com/us/reviews/id36814623","finster3","2.5.1",1,"Mantra course needs bug fixes. When you are meditating it pauses & it is very annoying to have to keep hitting play to keep it running. It stops playing in the middle of your meditation, which is terrible. This issue really needs to be addressed. If worked better before you started changing & added the mantra course. If you are going to charge-it should work",2019-06-25,"oak"
"2","Mind Blown Away","https://itunes.apple.com/us/reviews/id783079164","COWMSNDJAMX","2.5.1",4,"I absolutely love this app. There is no subscription that you have to buy to use it. There is an in app purchase but that’s besides my point. I absolutely would recommend this app. Whenever I’ve had a stressful day I can always count on this awesome app to help. Waking up early? No problem! The sleeping section helps with that. Can’t focus? The breathing section helps with that! Just want to be guided on meditation without having to tap your screen to make sure it’s on? The meditation section helps with that! Here’s a quick story: when I first found this app and saw that you could have rain playing for 55 minutes with you phone off, I had to recommend it to my mom. She loves sleep and falling asleep to rain. It was the best to her! 

Another thing: Since it’s Pride Month I’ll share this. The meditation section REALLY helped me accept my sexuality and gender identification since I was struggling with that and coming to terms with who I was. I was a little ehh about it but doing the I think acceptance breathing meditation course, for a while really helped me come to terms.

Have I proven my point that this is a freakin amazing app yet? Still not convinced? Try it out, see how you like it.",2019-06-23,"oak"
"3","Volume and Breathing","https://itunes.apple.com/us/reviews/id471866717","<U+0436><U+0430><U+043B><U+0435><U+0434>","2.5.1",2,"I would give a 5 stars if you please make the background sound more louder. Thank you.",2019-06-22,"oak"
"4","Best app for meditation","https://itunes.apple.com/us/reviews/id19737561","VS008","2.5.1",4,"I have tried several mediation apps paid and free and also from Art of Living course. 
Oak is perhaps the best of all with an easier intuitive interface. The app itself has a calming effect and tone on me! I love the Tibetan Om. That’s my new fav background music score. I usually don’t write reviews, but for this I want to thank the developer team and people behind its vision! Thanks for your service!!",2019-06-20,"oak"
"5","Just what I was looking for!","https://itunes.apple.com/us/reviews/id365782816","JayneDarling","2.5.1",4,"I’ve been searching for months for decent apps that help with anxiety, stress, etc and it is so difficult to find a good one that doesn’t charge you for full access to what they offer. I came across a review for Oak and I’m so glad I downloaded it. It’s simple & beautiful in terms of interface & usage and it has already become my go-to when I need to center myself, decompress or just re-focus.",2019-06-19,"oak"
"6","Just got it today!","https://itunes.apple.com/us/reviews/id287322159","petite-fille.","2.5.1",4,"I was looking for something to accompany my scripture study and a means to practice meditation before I sleep. Already I love it! Using the Lovingkindness meditation I am filled with feelings of peace and compassion. I feel more open to the promptings of the spirit. Exactly what I was looking for! It doesn't look like there are millions of meditations yet, but there's a lot of custimaztion and badges to earn! I can already tell this is likely the perfect guided meditation app for me! ( I also like that it doesn't make me get a subscription). I love it!",2019-06-18,"oak"
"7","Simple, free, awesome","https://itunes.apple.com/us/reviews/id36145333","SoldAgent","2.5.1",4,"Amazing app. I’ve been using it for over a year.  Just great to use.  Helps me to meditate more!",2019-06-18,"oak"
"8","Weird","https://itunes.apple.com/us/reviews/id162978527","Livvy Shirshac","2.5.1",1,"Voice",2019-06-16,"oak"
"9","Meditation isn’t easy! Now it is","https://itunes.apple.com/us/reviews/id22006178","Bcp 12345","2.5.1",4,"I struggled trying to meditate but this app really helps me stay on track and meditate consistently. Great and easy to use.",2019-06-12,"oak"
"10","Oak","https://itunes.apple.com/us/reviews/id103101006","AuntiSudy","2.5.1",4,"Gets me through the day<U+0001F339>",2019-06-12,"oak"
