"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date","app_name"
"1","Easy, Motivating & Fun","https://itunes.apple.com/us/reviews/id196598925","SummerSnowCakes","2.6.0",5,"Shine makes it easy and fun to start your day in a positive and thoughtful way.",2019-06-28,"shine"
"2","Amazing app","https://itunes.apple.com/us/reviews/id629730981","hahahaha_ hahahahaha","2.6.0",5,"This app helps me stay positive and look on the bright side of things... even though for some things you have to pay there are still free things for people who don’t want to pay, I personally like this app for if I’m having bad days and need a pick me up. I definately reccomend this app!!",2019-06-28,"shine"
"3","OMG!!!","https://itunes.apple.com/us/reviews/id608816215","Gna/JJ","2.6.0",5,"I don’t write reviews but,  what an amazing app! It helps me now and I’m almost 70 years old but what I would’ve given to have had it when I was a young adult or even a teenager. Whatever your age, whatever Avenue you travel there is something in this for you even if you just use the basic app without the premium subscription. Whether you pick & choose the articles you read or you read it faithfully every day something always hits the mark when you need it.  Thank you for such a wonderful program.  Gma",2019-06-26,"shine"
"4","Shine","https://itunes.apple.com/us/reviews/id952663963","@squahsprinkles123","2.6.0",5,"Shine is great! I do a shine meditation every morning and every night and the check-in’s can really help me. There are all kinds of new and different meditations on shine, and all kinds of cool and fun rituals. My personal favorite is the coffe and tea ritual!! Super fun! And the meditations.... well just very relaxing and calming. So shine <U+2B50><U+FE0F> your very brightest!! <U+0001F9D8><U+200D><U+2640><U+FE0F>",2019-06-26,"shine"
"5","Absolutely amazing app","https://itunes.apple.com/us/reviews/id270503823","StardomIs","2.6.0",5,"Fantastic",2019-06-26,"shine"
"6","in love!!","https://itunes.apple.com/us/reviews/id22833083","Apeman747","2.6.0",5,"i love it!!!",2019-06-25,"shine"
"7","Love Shine!","https://itunes.apple.com/us/reviews/id110531058","Kellydmama","2.6.0",5,"Easy to navigate app with awesome content!!!",2019-06-25,"shine"
"8","Pretty good","https://itunes.apple.com/us/reviews/id694651754","AqV*","2.6.0",4,"I wish the meditations we’re free but the articles and AI chat are super helpful if you are broke",2019-06-25,"shine"
"9","Shine","https://itunes.apple.com/us/reviews/id630885633","Grateful Shine User","2.6.0",5,"I’m so glad to have found Shine... it’s great for when I need a quick pick me up rite at my finger tips<U+2764><U+FE0F>",2019-06-24,"shine"
"10","Daily check-ins","https://itunes.apple.com/us/reviews/id106369317","singsprite","2.6.0",5,"I am a social worker. I’m grateful that my workplace acknowledges self-care and allows for moments of reflection. We even have lunchtime yoga offered sometimes.

Well, I would argue I’m really consistent with self-reflection and self-care at nighttime before bed because it’s in my routine. I had difficulty setting myself up for a great day in the mornings though, and calming my thoughts before going through my to-do list. I looked for an app to help guide me through self-reflection/mediations in the mornings before starting my work day because I needed the extra help. I really like the 5-minute Shine talks. They wake up my brain in a way that’s not overwhelming and they remind me to pace myself. I’m really happy I found this app for those 5-minute check-ins with myself.",2019-06-24,"shine"
"11","Great Until it Got Political.","https://itunes.apple.com/us/reviews/id15255621","Tchenowith","2.6.0",1,"Shine was a fun app that was inspiring, and I enjoyed it. I even gave it room for notifications. Then it switched to pushing politics and agendas, even ones I agree with. Unfortunately there is to much of that everywhere else and don’t need it in apps that are not for that specifically. So I deleted the app and will not be using it anymore.",2019-06-24,"shine"
"12","Turned off immediately!!","https://itunes.apple.com/us/reviews/id33520080","YvetteCer","2.6.0",1,"I purchased app thinking I’d expect genuine help except the first daily meditation was an add for the show Queer Eye. Couldn’t they just place ads before mediation nor during. So disappointing!",2019-06-24,"shine"
"13","So true <U+0001F970><U+0001F970><U+0001F970>","https://itunes.apple.com/us/reviews/id817016630","Angie213a","2.6.0",5,"Love but love this app I’ve been going thru a lot of anxiety and just by listening I’m
Not alone makes me feel better <U+0001F970><U+0001F970><U+2764><U+FE0F>",2019-06-24,"shine"
"14","Love it!","https://itunes.apple.com/us/reviews/id594537650","doihavetopickausername","2.6.0",5,"I love this app! I’ve been using Shine for years and it’s been a huge help. The only thing keeping me from giving it 5 stars is the absence of a search bar, which makes finding some tracks difficult. Aside from that, it’s easy to use, provides helpful information, and the check-ins are great. Highly recommend!",2019-06-24,"shine"
"15","Almost completely awesome","https://itunes.apple.com/us/reviews/id584919196","LFGib","2.6.0",4,"I love this app. It is super helpful. The one teensy tiny thing that could make it 5-star awesome is if users could change the check in time in iOS. Most days I’m already a million miles into my work, and I often disregard the check in as a result.

Who knows, maybe that’s just an excuse on days I don’t teach, but it would be a great thing to add/update. Other than that, great app!!",2019-06-24,"shine"
"16","Amazing","https://itunes.apple.com/us/reviews/id991643398","lonelymoonstar","2.6.0",5,"I love it used it today and changed my whole
Mood thank you",2019-06-23,"shine"
"17","How I start my days","https://itunes.apple.com/us/reviews/id178123067","Franchescasays","2.6.0",5,"This app is a life changer. It helps me focus on what’s important and how to look at challenges life throws us at us in a realistic and positive way.",2019-06-23,"shine"
"18","Confidence","https://itunes.apple.com/us/reviews/id948287122","Montiela","2.6.0",4,"This meditation is great, but the fact that the day and date was wrong makes me think there is a glitch with the app that needs to be corrected. I want to hear that the day and date are current otherwise I don’t feel like the expectation to stay “present”is an honest one.",2019-06-23,"shine"
"19","I won't be without it","https://itunes.apple.com/us/reviews/id220627912","flowwithdelight","2.6.0",5,"It's the daily spiritual vitamin we all need",2019-06-23,"shine"
"20","Love it","https://itunes.apple.com/us/reviews/id27821048","psssh3","2.6.0",5,"Encouraging and lovely",2019-06-22,"shine"
"21","Miss Froggy","https://itunes.apple.com/us/reviews/id813248798","froglipz","2.6.0",5,"Miss",2019-06-22,"shine"
"22","Keeps me grounded (with a side of morning coffee!)","https://itunes.apple.com/us/reviews/id30037101","Jen Nag","2.6.0",5,"Awesome app! The meditations help me to stay focused and start my day off on a positive note. The daily check-ins have some great articles and meditation suggestions based on how you’re feeling that day. No day is going to be perfect but Shine helps me to understand that and gives me options to change my outlook on the day ahead. The rituals are awesome, too. They help ground me and refocus when I need it. I’ve got the annual subscription and I couldn’t be happier with my decision!",2019-06-22,"shine"
"23","Cannot log in","https://itunes.apple.com/us/reviews/id105812519","Poverbaugh","2.6.0",1,"Note: this is a developer issue, not how the app actually works. I paid for a yearly subscription and it will not let me log in. Keeps telling me my email/password doesn’t exist. Have re-installed and updated app and it still does the same thing. Please fix so I can use the app! Thank you!!!",2019-06-22,"shine"
"24",":/","https://itunes.apple.com/us/reviews/id108903597","shaddae","2.5.1",1,"I hate the fake chat function as soon as you use it. Quick delete.",2019-06-21,"shine"
"25","Crashing","https://itunes.apple.com/us/reviews/id150267312","rehavidas","2.5.1",3,"The app is great but it crashes every time I try to open now so I don’t use it as much. Gonna turn the notifications off. It’s a good thing I get the daily texts as well",2019-06-20,"shine"
"26","Helps Me Everyday","https://itunes.apple.com/us/reviews/id620026895","kbuderfly","2.5.1",5,"I love love love the Shine app! It helps me to be more calm, centered, understanding, and confident everyday!! I feel like a better me!!",2019-06-20,"shine"
"27","Well worth using daily!","https://itunes.apple.com/us/reviews/id41280048","JSteck21","2.5.1",5,"Super helpful, it’s not obnoxious with its prompts. Keeps me grounded daily",2019-06-20,"shine"
"28","Won’t login","https://itunes.apple.com/us/reviews/id31832242","<U+C2DC><U+315D><U+ACE0><U+C591><U+C774>","2.5.1",1,"I can’t even login. Says my user name and password doesn’t exist. Tried via FB and says there’s already an account with that email address. Did forgot password and tried signing in again and it said I don’t exist. Not a great start.",2019-06-20,"shine"
"29","Premium not registering","https://itunes.apple.com/us/reviews/id38062785","Kasey5782","2.5.1",3,"I love the daily affirmations but I signed up for premium but the features won’t unlock.  Nobody at Shine is emailing me back.",2019-06-19,"shine"
