line,word
1,app
1,terrible
1,free
1,meditations
1,session
1,day
1,sessions
1,cost
1,money
1,cost
1,money
1,music
1,play
1,cost
1,money
1,read
1,stories
1,costs
1,money
1,terrible
1,app
2,person
2,struggles
2,falling
2,asleep
2,sleep
2,stories
2,sleep
2,music
2,boy
2,wrong
2,free
2,stuff
2,night
2,couch
2,tossing
2,a.m
2,screw
2,paid
2,money
2,subscription
2,lot
2,money
2,broken
2,entire
2,totally
2,worth
2,bed
2,sleep
2,restlessly
2,meditation
2,wonderful
2,sleep
2,found
2,favorite
2,narrators
2,excited
2,favorite
2,narrator
2,adds
2,sleep
2,story
2,spends
2,money
2,willy
2,nilly
2,smart
2,purchase
2,resubscribing
2,trust
2,worth
2,penny
3,continue
3,paying
3,annual
3,membership
3,app
3,clue
3,meditate
3,started
3,calm
3,ago
3,granted
3,fall
3,asleep
3,times
3,lay
3,bed
3,meditate
3,calm
3,nervous
3,nerves
3,mind
3,sleep
3,feel
3,love
3,nature
3,sounds
3,love
3,love
3,love
3,app
4,nice
4,app
4,lot
4,music
4,mixes
4,nature
4,sounds
4,goodnight
4,stories
4,complaints
4,meditation
4,guided
4,person
4,tamara
4,voice
4,relaxing
4,definite
4,pluses
4,minuses
6,pay
6,dollars
7,enjoy
7,content
7,tap
7,wait
7,tap
7,wait
7,tap
7,wait
7,eventually
7,program
7,successfully
7,issue
7,hesitate
7,renewing
7,premium
7,subscription
8,relaxing
8,peaceful
8,awesome
8,app
8,irritable
8,helped
8,feel
8,anxious
9,terrible
9,app
9,deleted
9,purchase
9,month
9,crazy
10,days
10,nothings
10,free
10,anymore
10,costs
10,ton
10,cent
10,app
10,reasonable
10,pricey
10,unlock
11,app
11,day
11,relax
11,calm
11,feel
11,fresh
11,calm
11,tomorrow
11,gonna
11,amazing
11,hope
11,stress
12,listen
12,free
12,purchase
12,bare
12,minimum
12,app
12,barely
12,worth
12,buying
12,bucks
12,lol
13,calm
13,app
13,excellent
13,provided
13,structure
13,guidance
13,methods
13,staying
13,grateful
13,ability
13,app
13,addition
13,meditations
13,related
13,mindfulness
13,creativity
13,public
13,speaking
13,passion
13,calling
13,discovery
13,calm
14,app
14,time
14,forgot
14,delete
14,app
14,account
14,careful
14,refunds
14,scammers
14,money
14,refunds
15,simple
15,exercise
15,add
15,calm
15,hectic
15,lives
16,cancel
16,app
16,stop
16,charged
17,calm
17,looked
17,locked
17,star
18,enjoyed
18,session
18,forward
18,tomorrow
19,entering
19,app
19,prompted
19,free
19,trial
19,week
19,week
19,pay
19,premium
19,content
19,reviewers
19,top
19,screen
19,disappointed
19,content
19,premium
19,update
19,update
19,convincing
19,premium
19,absolutely
19,love
19,app
19,stressed
19,human
19,bean
20,helps
20,sleep
20,anxiety
21,app
21,kids
21,sleep
21,matter
21,calm
21,realized
21,stuff
21,calm
21,premium
21,people
21,created
21,fix
21,app
21,amazing
22,fantastic
22,app
22,costs
22,lot
22,app
22,expected
22,quit
22,free
22,trial
22,lots
22,guided
22,mindfulness
22,meditations
22,regularly
22,helped
22,short
22,meditation
22,practices
22,day
22,times
22,purposes
22,focus
22,calm
22,sleep
22,listened
22,sleep
22,music
22,sleep
22,stories
22,wind
22,nights
22,sleep
22,hyped
22,stressful
22,day
22,request
22,hoping
22,add
22,separate
22,set
22,guided
22,meditations
22,actual
22,mind
22,body
22,physical
22,healing
22,injury
22,surgery
22,illness
22,benefit
22,guided
22,meditations
22,coping
22,living
22,chronic
22,pain
22,adding
23,calm
23,app
23,calming
23,meditation
23,calm
23,sleep
23,stories
23,amazing
23,sleep
23,pay
23,calm
23,premium
24,pay
24,listen
24,stuff
24,youtube
24,pandora
24,free
25,free
25,trial
25,renew
25,subscription
25,apple
25,charged
25,forced
25,pay
25,app
25,calm
25,set
25,renew
25,automatically
25,permission
25,charge
25,card
25,ahead
25,responsibility
25,protest
25,cancel
25,send
25,apple
25,automatically
25,reject
25,request
25,refund
25,abysmal
25,user
25,friendliness
25,easy
25,tricked
25,paying
25,version
25,disable
25,phone
25,extremely
25,disappointed
25,app
25,developers
26,love
26,app
26,helped
26,relax
27,downloaded
27,app
27,based
27,recommendation
27,skeptical
27,yoga
27,decade
27,struggled
27,meditation
27,set
27,panic
27,attacks
27,focus
27,moving
27,meditation
27,asana
27,move
27,frequent
27,practicing
27,person
27,essentially
27,stressed
27,bipolar
27,disorder
27,letting
27,stress
27,hold
27,dangerous
27,bit
27,episode
27,couple
27,weeks
27,ago
27,time
27,feeling
27,control
27,emotions
27,scared
27,decided
27,set
27,success
27,mental
27,health
27,af
27,time
27,meditation
27,effective
27,facilitate
27,apps
27,methods
27,half
27,heartedly
27,meditation
27,feeling
27,torture
27,mind
27,nightmare
27,time
27,hard
27,intentionally
27,space
27,undistracted
27,minutes
27,calm
27,time
27,yeeeessssss
27,designer
27,ui
27,perfectly
27,invokes
27,sense
27,peace
27,tranquility
27,design
27,beautiful
27,enjoyable
27,interact
27,impressed
27,started
27,days
27,anxiety
27,series
27,11ish
27,minutes
27,apiece
27,surprise
27,pleasant
27,tamara
27,meditation
27,wizard
27,practices
27,resonated
27,torturous
27,enjoyed
27,ten
27,minutes
27,sleep
27,stories
27,trouble
27,sleeping
27,downloaded
27,helped
27,pay
27,money
27,meditation
27,app
27,worth
27,beat
27,investment
27,health
27,wait
27,calm
27,favorite
27,app
27,downloaded
28,app
28,sleep
28,sleeping
28,helps
28,fall
28,asleep
28,fast
28,calm
29,absolutely
29,love
29,mins
29,sessions
29,designed
29,effective
29,easily
29,fit
29,morning
29,routines
29,rarely
29,start
29,day
29,love
29,beautiful
29,combination
29,silence
29,mediation
29,breath
29,inclusion
29,strong
29,moral
29,message
29,day
29,session
29,excited
29,explore
29,aspects
29,app
29,geared
29,day
29,emotions
29,voice
29,calming
29,choice
29,app
29,stories
29,listener
29,resonate
29,salute
29,tamara
29,carefully
29,curating
29,lessons
29,spreading
29,positivity
29,love
29,accept
29,world
29,bless
29,beautiful
29,efforts
30,app
30,helped
30,tremendously
30,introduction
30,enjoyed
30,app
30,months
30,add
30,search
30,bar
30,specific
30,hard
30,fit
30,situation
30,search
30,bar
30,lot
31,day
31,feel
31,fresh
31,calm
32,hey
33,listened
33,times
33,story
33,increased
33,desire
33,travel
33,france
33,free
33,options
33,recently
33,laid
34,app
34,helping
34,fall
34,asleep
34,listen
34,sleep
34,stories
34,remained
34,awake
34,hear
34,rate
34,stars
34,price
34,features
34,sleep
34,stories
34,prefer
34,pay
34,cheaper
34,price
34,feature
34,love
34,app
35,forward
35,session
36,app
36,found
37,comical
37,recommended
37,section
37,sleep
37,content
37,locked
37,subscription
37,reading
37,audible
37,youtube
37,audio
37,recording
37,support
37,developers
37,business
37,model
38,contact
38,support
38,night
38,subscription
38,tonight
38,locked
38,wth
38,love
38,app
38,listen
38,sleep
38,story
38,night
38,cancel
39,love
39,feel
39,app
39,meditation
40,app
40,free
40,bought
40,bad
40,fall
40,asleep
40,calm
40,helpful
41,app
41,glitching
41,nerves
42,wow
42,sleep
42,sounds
42,minutes
42,shut
42,hearted
42,sounds
42,looked
42,sound
42,shutting
42,app
42,minute
42,honestly
42,expected
42,disappointed
43,honest
43,calm
43,app
43,sleep
43,meditation
43,calming
43,free
43,people
43,app
43,expecting
43,app
43,free
43,stuff
43,buy
43,app
43,costs
43,money
43,free
44,downloaded
44,app
44,feel
44,calm
45,beginning
45,pleased
45,stuff
45,listen
45,music
45,people
45,spend
45,app
45,stress
45,anxiety
45,nope
45,mine
45,worse
45,listen
45,pleasing
45,locked
45,items
46,love
46,app
46,helps
46,lot
47,nice
47,app
47,enjoyed
47,pay
47,premium
47,barely
47,pretty
47,disappointed
48,orators
48,baby
48,sensual
48,voices
48,typical
48,generation
48,annoying
48,senior
48,prefer
48,hear
48,mature
48,voices
48,typical
48,age
49,fantastic
49,method
49,relaxation
49,sleep
49,adults
49,kids
49,enjoy
49,sleep
49,stories
49,idea
49,effective
49,sleeping
49,pill
49,sharing
49,anne
50,lot
50,cost
50,money
51,love
51,app
51,add
51,backlog
51,daily
51,meditations
51,hate
51,miss
51,lost
52,focus
52,day
52,stress
53,amazing
54,time
54,hear
54,story
54,begn
54,listen
54,sandman
54,knocks
54,love
54,app
54,havibg
54,afib
54,moments
54,geniuses
54,im
54,sleep
54,god
54,bless
54,jill
55,earthquake
55,vacation
55,staying
55,floor
55,building
55,scared
55,sleep
55,aftershocks
55,app
55,calm
56,pay
56,relax
56,yeah
56,peace
56,stars
57,love
57,calm
57,app
57,daily
57,calm
57,stories
57,sleep
57,love
57,song
57,choices
57,relax
57,sleep
57,app
57,godsend
58,free
58,trial
58,version
58,cancel
58,charged
58,subscription
58,cancel
58,feel
58,completely
58,cheated
58,app
59,highly
59,suggest
59,downloading
59,week
59,free
59,trial
59,upgraded
59,premium
59,charged
59,subscription
59,consent
59,noticed
59,charged
59,multiple
59,subscriptions
59,charged
59,expensive
59,apps
59,content
59,time
59,waste
59,time
59,charge
60,calm
60,free
60,account
60,music
60,locked
61,app
61,pretty
61,app
61,genius
61,listen
61,music
61,spend
61,money
61,portion
61,music
61,books
61,stuff
61,spend
61,money
61,package
61,app
61,amazing
61,spend
61,money
62,app
62,helped
63,improvement
63,navigating
63,app
63,nice
64,app
64,free
64,charge
64,listening
64,single
64,kinda
64,stupid
64,opinion
65,update
65,content
65,free
65,ocean
65,waves
65,locked
65,content
65,disappointing
66,money
66,scam
67,literally
67,worst
67,app
67,advertised
67,download
67,pay
67,lame
68,app
68,plan
68,paying
68,month
68,useless
68,sleep
68,stories
68,locked
68,unlocked
68,people
68,app
69,sleep
69,free
69,submit
69,info
69,purchase
69,stories
69,bed
69,free
70,sessions
70,dealing
70,daily
70,stress
70,sleeplessness
70,trauma
70,wondering
70,oppressed
70,suffer
70,daily
70,racism
70,micro
70,aggressions
70,increased
70,finding
70,daily
70,medications
70,helpful
70,increase
70,tensions
70,bought
70,idea
70,happiness
70,entitled
70,found
70,mindfulness
70,practice
70,helpful
70,feel
70,experience
70,day
70,dealing
70,change
