line,word
1,feel
1,meditation
1,bit
1,bad
1,nonsense
1,sit
1,awareness
2,andy
2,meditation
2,realistic
2,average
2,person
2,amount
2,resources
2,app
2,incredible
2,invaluable
3,takes
3,fall
3,asleep
3,tired
3,waiting
3,fall
3,asleep
3,decided
3,apps
3,delete
3,half
3,hour
3,fall
3,asleep
3,night
3,minutes
3,app
4,walks
4,step
4,step
4,category
4,meditation
4,chose
4,esteem
4,basics
4,anxiety
4,depression
5,terrific
5,concept
5,app
5,search
5,function
5,pack
5,meditation
6,helps
6,stay
6,phone
6,phone
6,helps
7,app
7,literal
7,hav
7,sleeping
7,issues
7,app
7,falling
7,asleep
7,minutes
7,lot
7,stay
7,night
7,listening
7,asmr
7,closing
7,eyes
7,electronics
7,sleep
7,dosing
7,school
7,day
7,wanna
7,fall
7,asleep
7,crony
7,dosing
7,app
7,sleep
7,schedule
7,sleep
7,issues
7,fixed
7,happy
7,internal
7,external
8,guidance
8,simple
8,easy
8,tone
8,makes
8,meditation
8,relaxing
8,engaging
8,experience
8,enjoyable
8,addictive
9,recomend
9,people
9,lot
9,stuff
9,mind
10,started
10,session
10,mad
10,overwhelming
10,session
10,calmer
10,handle
11,headspace
11,changed
11,life
11,committed
11,morning
11,routine
11,incredible
11,personal
11,wins
11,spheres
11,life
12,headspace
12,favorite
12,app
12,understood
12,meditation
12,headspace
12,helped
12,teaching
12,skill
12,love
13,amazing
13,app
13,mindset
13,move
13,forward
14,meditation
14,apps
14,consumer
14,exploit
14,yr
14,reduced
14,price
14,add
14,ridiculous
14,price
14,amazon
14,prime
14,subscription
14,sick
14,app
14,feels
14,taking
14,money
14,people
14,peace
14,mind
14,day
14,day
14,financial
14,struggles
14,reminded
14,relax
14,imagine
14,thinking
14,meditation
14,mind
14,exclusive
14,people
14,sick
14,minded
14,individuals
15,words
15,app
15,words
15,practice
15,meditation
15,change
15,life
16,app
16,reducing
16,stress
16,pay
16,premium
17,free
17,trial
17,loved
17,joining
17,month
18,app
18,meditation
18,sleep
18,charges
18,main
18,features
18,month
18,giving
18,premium
18,lifetime
18,understand
18,app
18,money
18,frustrating
18,spend
18,lots
18,money
18,stressed
18,happy
20,dude
20,pool
20,floatie
20,float
20,zilker
20,park
20,austin
20,tx
20,amazing
20,ish
23,love
23,app
23,consistent
23,times
23,sit
23,effect
23,improvement
23,future
23,feel
23,app
23,allowed
23,explore
23,power
23,mind
24,app
24,night
24,sleep
24,option
24,ready
24,sleep
24,sounds
24,waves
24,woman
24,talking
24,visualizing
24,stuff
24,10am
24,waking
24,nights
24,sleep
24,phone
24,nights
24,sleep
24,congrats
24,worth
24,app
25,days
25,hard
25,time
25,concentrating
25,quiet
25,mind
25,norm
25,perfect
25,andy
25,teaches
25,quiet
25,head
25,days
25,enjoy
25,headspace
25,app
25,uninterrupted
25,headspace
25,helps
25,calm
25,day
25,approach
25,subscription
25,bit
25,missed
25,enjoy
25,soothing
25,voice
25,direction
25,renewed
25,subscription
25,packs
25,anger
25,anxiety
25,sleep
25,set
25,time
25,session
25,happy
26,subscribed
27,app
28,app
28,amazing
28,lot
28,anxiety
28,trouble
28,sleeping
28,feel
28,lot
28,minutes
28,day
28,wind
28,bit
29,specific
29,courses
29,directed
29,people
30,beautiful
30,script
30,friendly
30,walk
30,headspace
30,takes
30,hand
30,stroll
30,gardens
30,mind
30,taking
30,vacation
30,coming
30,home
30,relaxed
31,helping
31,husband
31,lot
32,left
32,review
32,love
32,app
32,makes
32,meditation
32,easier
32,critique
32,earlier
32,fixed
32,update
32,critique
32,pop
32,windows
32,promoting
32,app
32,i.e
32,featured
32,programs
32,sleep
32,section
