line,word
1,love
1,app
1,daily
1,morning
1,practice
1,deep
1,sleep
1,music
1,meditations
1,wind
1,night
2,love
2,app
2,yoga
2,app
2,mediations
2,20min
2,30min
2,free
2,variety
2,prefer
2,mediations
2,free
2,haha
3,love
3,easy
3,app
3,constantly
3,buy
3,makes
3,adopt
3,routine
3,easy
4,app
4,essential
4,love
4,aesthetics
4,ability
4,add
4,music
4,calming
4,sonics
4,plan
4,consistent
4,disciplined
4,meditating
4,committed
4,absolutely
4,plan
4,subscribing
4,absolutely
4,worth
4,price
5,love
5,music
5,options
5,delivered
5,timer
5,feature
5,multiple
5,times
5,week
5,deal
5,holiday
5,stress
5,anxiety
5,love
5,love
5,love
5,playlist
5,feature
6,loving
6,app
6,lots
6,choices
6,instructors
6,types
6,meditations
6,singing
6,bowls
6,super
6,relaxing
6,favorite
6,mix
6,sounds
6,practice
6,save
6,add
6,rain
6,practice
6,background
6,app
6,features
7,app
7,phone
7,past
7,helped
7,difficult
7,times
7,meditations
7,free
7,downloaded
7,format
7,factory
7,settings
7,mediations
7,locked
7,membership
7,bummer
7,gonna
7,apps
7,alternatives
7,disappointed
8,favorite
8,meditation
8,app
8,pay
8,subscription
8,half
8,meditations
9,meditation
9,apps
9,content
9,favorite
9,data
9,junkie
9,tracked
9,minutes
10,valuable
10,subscription
10,app
10,amazing
10,helping
10,learn
10,meditate
10,support
10,continually
10,benefits
10,meditation
10,easy
10,variety
10,meditations
10,guides
10,means
10,discover
11,loved
11,app
11,absolutely
11,worth
11,money
11,initially
11,paid
11,business
11,model
11,changed
11,prescription
11,feel
11,afford
11,personal
11,health
11,reach
11,lower
11,income
11,individuals
11,legacy
11,customer
11,access
11,content
11,recommend
11,app
11,stand
11,price
11,download
11,meditations
11,individual
11,cost
11,stay
11,stagnant
11,content
11,frustrating
11,topics
11,coming
11,understand
11,costs
11,money
11,run
11,understand
11,business
11,basis
11,service
11,care
11,disheartening
11,meditation
11,apps
11,pricing
11,people
11,disposable
11,income
11,apps
12,money
12,paid
12,original
12,app
12,majority
12,content
12,requires
12,significantly
12,expensive
12,subscription
12,makes
12,grimace
12,fine
12,benefits
12,meditating
12,worth
12,investment
12,noticed
12,night
12,mode
12,subscription
12,feature
12,joking
13,highly
13,doubted
13,wrong
14,lot
14,memorization
14,stress
14,environment
14,adding
14,meditation
14,morning
14,routine
14,space
14,inside
14,safe
14,equipped
14,tool
14,overcome
14,difficult
14,situations
15,virtually
15,meditation
15,apps
15,meditation
15,component
15,treating
15,chronic
15,pain
15,condition
15,app
15,excellent
15,quality
15,guided
15,meditations
15,includes
15,option
15,user
15,create
15,playlist
15,meditations
15,app
15,daily
15,care
15,program
15,living
15,chronic
15,pain
16,absolutely
16,live
16,app
16,meditation
16,moods
17,trainers
17,voice
17,soothing
17,positive
17,style
17,coaching
17,learned
17,mind
17,wonders
17,discouraged
17,struggle
17,accomplish
17,task
17,coach
17,reassures
17,normal
17,shares
17,tools
17,stay
17,focus
18,love
18,app
18,insomnia
18,entire
18,collection
18,meditations
18,walk
18,calming
18,deep
18,breathing
18,process
18,helps
18,sleep
18,variety
18,meditations
18,magic
18,carpet
18,ride
18,enter
18,secret
18,garden
18,traditionally
18,relax
18,body
18,breathe
18,deeply
18,abdomen
18,variety
18,voices
18,styles
18,explored
18,types
18,meditations
18,intend
18,titles
18,intriguing
18,quality
18,terrific
19,love
19,time
19,create
19,space
