line,word
1,liking
1,app
1,purchased
1,courses
1,suddenly
1,progress
1,purchase
1,update
1,restore
1,purchase
1,effect
2,unlike
2,apps
2,hounded
2,pay
2,offers
2,beginner
2,advanced
3,design
3,hooked
3,enter
3,click
3,job
3,aj
3,smart
3,p.s
3,app
4,absolutely
4,love
4,app
4,beginner
4,meditation
4,simple
4,overwhelming
4,options
4,suggestions
4,option
4,close
4,eyes
4,screen
4,breathing
4,provide
4,voice
4,direction
4,option
4,adjust
4,ambiance
4,volume
4,separate
4,guide
4,voice
4,guide
4,voice
4,loud
4,taste
4,ambience
4,quiet
4,makes
4,voice
4,prominent
5,app
5,honestly
5,worth
5,stars
5,stars
5,easy
5,oak
5,free
5,limitations
5,times
5,meditate
5,pay
5,day
5,past
5,month
5,customize
5,meditation
5,sessions
5,choosing
5,length
5,time
5,guide
5,male
5,female
5,background
5,sound
5,sounds
5,ranging
5,fireplace
5,personal
5,favorite
5,elevate
5,choose
5,meditate
5,guided
5,unguided
5,guided
5,sleeping
5,aids
5,deep
5,breathing
5,exercises
5,understand
5,app
5,reviews
5,competitors
6,dancing
6,rib
6,started
6,hurt
6,deep
6,calm
7,included
7,shorter
7,meditation
7,sessions
7,time
8,oak
8,simply
8,perfect
8,app
8,helping
8,meditate
8,love
8,choices
8,simple
8,easy
8,choose
8,accomplish
8,leave
9,mantra
9,bug
9,fixes
9,meditating
9,pauses
9,annoying
9,hitting
9,play
9,running
9,stops
9,playing
9,middle
9,meditation
9,terrible
9,issue
9,addressed
9,started
9,changing
9,added
9,mantra
9,charge
10,absolutely
10,love
10,app
10,subscription
10,buy
10,app
10,purchase
10,absolutely
10,recommend
10,app
10,stressful
10,day
10,count
10,awesome
10,app
10,waking
10,sleeping
10,section
10,helps
10,focus
10,breathing
10,section
10,helps
10,guided
10,meditation
10,tap
10,screen
10,meditation
10,section
10,helps
10,quick
10,story
10,found
10,app
10,rain
10,playing
10,minutes
10,phone
10,recommend
10,mom
10,loves
10,sleep
10,falling
10,asleep
10,rain
10,pride
10,month
10,share
10,meditation
10,section
10,helped
10,accept
10,sexuality
10,gender
10,identification
10,struggling
10,coming
10,terms
10,ehh
10,acceptance
10,breathing
10,meditation
10,helped
10,terms
10,proven
10,freakin
10,amazing
10,app
10,convinced
11,stars
11,background
11,sound
11,louder
12,mediation
12,apps
12,paid
12,free
12,art
12,living
12,oak
12,easier
12,intuitive
12,interface
12,app
12,calming
12,effect
12,tone
12,love
12,tibetan
12,om
12,fav
12,background
12,music
12,score
12,write
12,reviews
12,developer
12,team
12,people
12,vision
12,service
13,searching
13,months
13,decent
13,apps
13,anxiety
13,stress
13,difficult
13,charge
13,access
13,offer
13,review
13,oak
13,glad
13,downloaded
13,simple
13,beautiful
13,terms
13,interface
13,usage
13,center
13,decompress
13,focus
14,accompany
14,scripture
14,study
14,means
14,practice
14,meditation
14,sleep
14,love
14,lovingkindness
14,meditation
14,filled
14,feelings
14,peace
14,compassion
14,feel
14,promptings
14,spirit
14,millions
14,meditations
14,lot
14,custimaztion
14,badges
14,earn
14,perfect
14,guided
14,meditation
14,app
14,subscription
14,love
15,amazing
15,app
15,helps
15,meditate
16,voice
17,struggled
17,meditate
17,app
17,helps
17,stay
17,track
17,meditate
17,consistently
17,easy
18,day
19,daily
19,reminders
19,lightweight
19,easy
19,read
19,contribute
19,app
19,short
19,sweet
19,daily
19,reminders
19,brilliant
20,everyday
20,realize
20,anxious
20,angry
20,relieve
20,sleep
20,lot
20,apps
20,calm
21,recently
21,signed
21,apple
21,recommendations
21,happy
21,app
21,recommended
21,insomnia
21,life
21,god
21,send
21,kudos
22,absolutely
22,love
22,app
22,free
22,life
22,love
22,sleep
22,section
22,half
22,throw
22,feel
22,rested
22,calm
22,meditation
22,app
22,percent
22,recommend
23,app
23,meditation
23,apps
23,free
23,unlike
23,apps
23,soothing
23,glad
23,found
23,anxiety
23,calm
23,sleep
23,sessions
23,love
23,oak
23,choose
23,background
23,noise
23,options
23,pretty
23,decent
23,pay
23,money
23,app
23,catch
23,happy
23,apps
23,cost
23,money
23,pay
23,money
23,supposed
