line,word
1,love
1,app
1,encouragement
1,pop
2,app
2,mindfulness
2,journey
2,lessons
2,blog
2,entries
2,quick
2,powerful
2,allowing
2,daily
2,positive
2,shot
2,busy
2,people
3,app
3,result
3,user
3,error
3,instructions
3,app
3,read
3,article
3,access
3,message
3,bottom
3,link
3,search
3,app
3,view
3,info
3,challenges
3,app
3,recommending
3,popular
3,feels
3,limited
3,life
3,changing
3,worth
3,half
3,price
3,paid
3,disappointing
4,shine
4,life
4,changing
4,app
4,downloaded
4,start
4,meditating
4,relaxing
4,experienced
4,challenges
4,finding
4,time
4,meditate
4,quiet
4,mind
4,focus
4,breaks
4,meditation
4,bytes
4,attainable
4,love
4,journaling
4,check
4,ins
4,practice
4,gratitude
4,refocus
4,intentions
4,day
4,shine
4,difference
4,daily
4,activities
5,love
5,daily
5,shines
5,start
5,day
6,log
6,facebook
6,sign
7,recommend
7,shine
7,friends
7,care
7,meditation
7,feels
7,task
7,shine
7,makes
7,totally
7,snackable
7,easy
7,day
9,content
9,amazing
9,company
9,lot
9,forward
9,thinking
9,proactive
9,care
9,completely
9,love
9,app
9,interface
9,cool
9,hard
9,navigate
9,search
9,function
9,free
9,write
9,offered
9,suggestions
9,check
9,mood
9,bad
9,offering
9,options
9,day
9,love
9,option
9,money
10,mental
10,health
10,mental
10,wellness
10,shine
10,team
11,delightful
11,app
12,love
12,app
13,app
13,messenger
13,everyday
14,subscribe
14,reach
14,messages
14,response
14,ridiculous
14,request
14,nickname
14,post
15,forward
15,shine
15,texts
15,day
15,time
15,listen
15,clip
15,read
15,article
15,snip
15,bits
15,day
15,shine
15,community
15,job
15,matters
16,app
16,enjoy
16,reminders
16,mindful
16,time
16,enjoy
17,shine
17,absolutely
17,wonderful
17,impacted
17,life
17,short
17,period
17,time
17,blown
17,suffer
17,depression
17,anxiety
17,shine
17,helped
17,tremendously
17,shine
17,fighting
17,fight
17,lead
18,recommend
18,love
18,concept
18,topics
18,sound
18,similar
18,topics
18,people
19,wonderful
19,insights
19,makes
19,day
21,pretty
21,free
21,pay
22,shine
22,makes
22,easy
22,fun
22,start
22,day
22,positive
22,thoughtful
23,app
23,helps
23,stay
23,positive
23,bright
23,pay
23,free
23,people
23,pay
23,personally
23,app
23,bad
23,days
23,pick
23,definately
23,reccomend
23,app
24,write
24,reviews
24,amazing
24,app
24,helps
24,adult
24,teenager
24,age
24,avenue
24,travel
24,basic
24,app
24,premium
24,subscription
24,pick
24,choose
24,articles
24,read
24,read
24,faithfully
24,day
24,hits
24,mark
24,wonderful
24,program
24,gma
25,shine
25,shine
25,meditation
25,morning
25,night
25,check
25,kinds
25,meditations
25,shine
25,kinds
25,cool
25,fun
25,rituals
25,personal
25,favorite
25,coffe
25,tea
25,ritual
25,super
25,fun
25,meditations
25,relaxing
25,calming
25,shine
25,brightest
26,fantastic
27,love
28,easy
28,navigate
28,app
28,awesome
28,content
29,meditations
29,free
29,articles
29,ai
29,chat
29,super
29,helpful
29,broke
30,glad
30,found
30,shine
30,quick
30,pick
30,rite
30,finger
30,tips
31,social
31,worker
31,grateful
31,workplace
31,acknowledges
31,care
31,moments
31,reflection
31,lunchtime
31,yoga
31,offered
31,argue
31,consistent
31,reflection
31,care
31,nighttime
31,bed
31,routine
31,difficulty
31,setting
31,day
31,mornings
31,calming
31,list
31,looked
31,app
31,guide
31,reflection
31,mediations
31,mornings
31,starting
31,day
31,extra
